StudyID,Study,T,N,Mean,SD
287,"Tjonna et al., 2008",5,12,-9,3.16
287,"Tjonna et al., 2008",1,10,-5,3.61
288,"Winding et al., 2018",5,11,-1,9.67
288,"Winding et al., 2018",1,8,4,5.4
289,"Baddeley-White et al., 2019 Isoball",6,7,-9.4,7.24
289,"Baddeley-White et al., 2019 Isoball",1,8,2.1,9.12
290,"Baddeley-White et al., 2019 Zona",6,8,-11,8.51
290,"Baddeley-White et al., 2019 Zona",1,8,2.1,9.12
291,"Badrov et al., 2013 A 3/pw",6,12,-6,3.61
291,"Badrov et al., 2013 A 3/pw",1,9,2,4.22
292,"Badrov et al., 2013 A 5/pw",6,11,-6,6.6
292,"Badrov et al., 2013 A 5/pw",1,9,2,4.22
293,"Badrov et al., 2013 B",6,12,-8,10.12
293,"Badrov et al., 2013 B",1,12,1,11.11
294,"Baross et al., 2012",6,10,-10.8,4.84
294,"Baross et al., 2012",1,10,-0.2,2.95
295,"Baross et al., 2013",6,10,-11,5.06
295,"Baross et al., 2013",1,10,-0.1,4.49
296,"Cahu Rodrigues et al., 2019",6,48,-14,2.41
296,"Cahu Rodrigues et al., 2019",1,24,-3,3
297,"Correia et al., 2020",6,50,-6,14.04
