StudyID,Study,T,N,Mean,SD
100,"Lim et al., 2015",1,15,0.1,1.9
101,"Lopes et al., 2021",2,26,-11,9.85
101,"Lopes et al., 2021",1,27,-1,9
102,"Maeda et al., 2004",2,10,-12,7.92
102,"Maeda et al., 2004",1,5,4,3.61
103,"Magalhaes et al., 2019",2,28,-4.7,11.65
103,"Magalhaes et al., 2019",1,27,-5.9,13.61
104,"McGavock et al., 2004",1,7,-3,12.04
104,"McGavock et al., 2004",4,11,3,12.04
105,"Mora-Rodriguez et al., 2017",2,23,-9,10.32
105,"Mora-Rodriguez et al., 2017",1,23,2,9.63
106,"Mouodi et al., 2019",2,98,-5.5,9.52
106,"Mouodi et al., 2019",1,97,-0.3,11.73
107,"Murphy et al., 1998 Long Bout",2,12,-4.6,7.3
107,"Murphy et al., 1998 Long Bout",1,10,-2,8.81
108,"Murphy et al., 1998 Short Bout",2,12,-7.4,6.62
108,"Murphy et al., 1998 Short Bout",1,10,-2,8.81
109,"Murphy et al., 2006",2,21,-5,11.98
109,"Murphy et al., 2006",1,12,2,7.82
110,"Murtagh et al., 2005 Multi Bout",2,18,-4,6.96
110,"Murtagh et al., 2005 Multi Bout",1,11,-3,11.11
111,"Murtagh et al., 2005 Single Bout",2,19,1,7.33
111,"Murtagh et al., 2005 Single Bout",1,11,-3,11.11
112,"Myslivecek et al., 2002 Postmenopause",2,8,-5,8.46
112,"Myslivecek et al., 2002 Postmenopause",1,8,-3,6.8
113,"Myslivecek et al., 2002 Premenopause",2,8,-6,8.91
113,"Myslivecek et al., 2002 Premenopause",1,8,0,11.94
114,"Nemoto et al., 2007 F",2,43,-3,12.46
114,"Nemoto et al., 2007 F",1,37,-1,11.51
115,"Nemoto et al., 2007 M",2,8,-3,3.6
115,"Nemoto et al., 2007 M",1,9,-2,3.79
116,"Neumann et al., 2006",2,14,-6,2.41
116,"Neumann et al., 2006",1,11,-10,3.69
117,"Nybo et al., 2010",2,8,-8,6.8
117,"Nybo et al., 2010",1,11,-2,6.08
117,"Nybo et al., 2010",3,9,-8,11.06
118,"Oue et al., 2019",2,8,-4,5.38
118,"Oue et al., 2019",1,9,-2,7.59
119,"Palmer et al., 1995",2,16,-5,10.21
119,"Palmer et al., 1995",1,11,-2,8.59
120,"Pascoalino et al., 2015",2,31,-1,17.58
120,"Pascoalino et al., 2015",1,9,2,7.22
121,"Patterson et al., 2017",2,14,-4,7.96
121,"Patterson et al., 2017",1,8,1,5.46
122,"Pereira Jorge et al., 2011",2,12,-10,9.72
122,"Pereira Jorge et al., 2011",1,12,-11.66,10.91
123,"Pitsavos et al., 2011",2,26,-12.05,8.99
123,"Pitsavos et al., 2011",1,26,-3,10.35
124,"Poptempa et al., 1995",2,19,-7.4,10.5
124,"Poptempa et al., 1995",1,23,-5,14.4
125,"Pospieszna et al., 2017",2,20,-13,12.63
125,"Pospieszna et al., 2017",1,19,-5,1.9
126,"Ramos et al., 2018",2,12,-4.4,5.1
126,"Ramos et al., 2018",1,12,6.1,3.42
127,"Ready et al., 1996 3-Day",2,19,-7,11.32
127,"Ready et al., 1996 3-Day",1,20,-2,9.67
128,"Ready et al., 1996 5-Day",2,17,-5,13.89
128,"Ready et al., 1996 5-Day",1,20,-2,9.67
129,"Ribeiro et al., 2012",2,20,0.9,8.77
129,"Ribeiro et al., 2012",1,18,3.5,8.56
130,"Richter et al., 2009",2,10,-6.2,3.48
130,"Richter et al., 2009",1,14,3,5
131,"Roberson et al., 2018",2,8,2,8.59
131,"Roberson et al., 2018",1,7,5,8.85
132,"Ruangthai & Phoemsapthawee., 2019",2,13,-8,9.49
132,"Ruangthai & Phoemsapthawee., 2019",1,12,6,12.17
132,"Ruangthai & Phoemsapthawee., 2019",3,13,-5,14.28
132,"Ruangthai & Phoemsapthawee., 2019",4,16,-11,9
133,"Sakai et al., 1998",2,16,-11,7.38
133,"Sakai et al., 1998",1,13,-5,6.64
134,"Sandberg et al., 2021",2,23,-22.4,11.17
134,"Sandberg et al., 2021",1,29,-16.4,14.82
135,"Saptharishi et al., 2009",2,27,-5.3,4.7
135,"Saptharishi et al., 2009",1,29,-0.2,6.31
136,"Saremi et al., 2010",2,9,-2.33,4.3
136,"Saremi et al., 2010",1,9,-0.67,4.77
137,"Schroeder et al., 2019",2,17,0,7.84
137,"Schroeder et al., 2019",1,17,0,7.84
137,"Schroeder et al., 2019",3,17,-1,7.84
137,"Schroeder et al., 2019",4,18,0,8.03
138,"Seo et al., 2010",2,7,2,12.08
138,"Seo et al., 2010",1,7,-2.1,8.3
138,"Seo et al., 2010",4,8,-7.7,8.79
139,"Serwe et al., 2011 Long Bout",2,20,0,6.71
139,"Serwe et al., 2011 Long Bout",1,20,0,5.69
140,"Serwe et al., 2011 Short Bout",2,20,-4,7.33
140,"Serwe et al., 2011 Short Bout",1,20,0,5.69
141,"Shenoy et al., 2010",2,20,1.5,10.44
141,"Shenoy et al., 2010",1,20,-3.3,8.54
142,"Sigla et al., 2007",2,60,-3,14.26
142,"Sigla et al., 2007",1,63,-4,13
142,"Sigla et al., 2007",3,64,-5,14.26
142,"Sigla et al., 2007",4,64,-2,14.26
143,"Sikiru., 2013",2,162,-15.7,10.07
143,"Sikiru., 2013",1,161,2.6,14.96
144,"Simons et al., 2006",2,18,-5,7.22
144,"Simons et al., 2006",1,21,1,7.22
144,"Simons et al., 2006",3,21,-9,7.82
145,"Skow et al., 2021",2,31,0,6.6
145,"Skow et al., 2021",1,28,3,7.33
146,"Sohn et al., 2007",2,8,-13.3,2.71
146,"Sohn et al., 2007",1,10,-3.4,2.41
147,"Sousa et al., 2013",2,15,-14.8,15.06
147,"Sousa et al., 2013",1,17,-0.3,10.26
147,"Sousa et al., 2013",4,16,-24,10.08
148,"Staffileno et al., 2001",2,9,-6.9,7.03
148,"Staffileno et al., 2001",1,9,1.2,6.18
149,"Stefanick et al., 1998 Men",2,47,-0.6,7.08
149,"Stefanick et al., 1998 Men",1,46,0.3,6.95
150,"Stefanick et al., 1998 Women",2,43,-1.1,7.8
150,"Stefanick et al., 1998 Women",1,45,-2.4,8.12
151,"Stutzman et al., 2010 Normal",2,5,2,9.12
151,"Stutzman et al., 2010 Normal",1,5,4,4.43
152,"Stutzman et al., 2010 Overweight",2,6,-2,8.44
152,"Stutzman et al., 2010 Overweight",1,6,10,4.84
153,"Suter et al., 1990",2,39,-4.9,10.48
153,"Suter et al., 1990",1,22,-5.9,8.51
154,"Swift et al., 2012 12kcal",2,93,-13.1,7.83
154,"Swift et al., 2012 12kcal",1,89,-1,6.9
155,"Swift et al., 2012 4kcal",2,140,-8.4,8.03
155,"Swift et al., 2012 4kcal",1,89,-1,6.9
156,"Swift et al., 2012 8kcal",2,82,-2.6,8.41
156,"Swift et al., 2012 8kcal",1,89,-1,6.9
157,"Tanaka et al., 1997",2,12,-6,10.38
157,"Tanaka et al., 1997",1,6,-1,5.9
158,"Tsai et al., 2002 A",2,12,-18,6.96
158,"Tsai et al., 2002 A",1,11,-8,11.76
159,"Tsai et al., 2002 B",2,22,-10.8,7.33
159,"Tsai et al., 2002 B",1,20,-2.8,10.15
160,"Tsai et al., 2004",2,52,-13.1,7.55
160,"Tsai et al., 2004",1,50,-3.6,11.68
161,"Tudor-Locke et al., 2004",2,12,-3,10.75
161,"Tudor-Locke et al., 2004",1,9,0,9.49
162,"Tully et al., 2005",2,21,-12,5.46
162,"Tully et al., 2005",1,10,-4,8.4
163,"Tully et al., 2007 3-Day",2,44,-4,9.85
163,"Tully et al., 2007 3-Day",1,20,-4,9.22
164,"Tully et al., 2007 5-Day",2,42,-6,9.49
164,"Tully et al., 2007 5-Day",1,20,-4,9.22
165,"Tully et al., 2011",2,8,-8.25,9.75
165,"Tully et al., 2011",1,4,4.83,7.11
166,"Van Craenenbroeck et al., 2015",2,19,-3,12.63
166,"Van Craenenbroeck et al., 2015",1,21,-9,12.63
167,"Venojarvi et al., 2013",2,39,-5.7,8.34
167,"Venojarvi et al., 2013",1,40,-2.9,10.66
167,"Venojarvi et al., 2013",3,36,-4.1,9.56
168,"Venturelli et al., 201",2,12,-6,6
168,"Venturelli et al., 201",1,12,2,4.22
169,"Wallis et al., 2016",2,22,-8,7.81
