StudyID,Study,T,N,Mean,SD
156,"Kurban et al., 2011",2,30,-3,3.79
156,"Kurban et al., 2011",1,30,-1,6
157,"Latosik et al., 2014",2,15,-2,2.47
157,"Latosik et al., 2014",1,10,-0.6,4.44
158,"Lee et al., 2007",2,91,-6.8,7.5
158,"Lee et al., 2007",1,93,-4.9,6.98
159,"Lim et al., 2015",2,15,-0.8,2.68
159,"Lim et al., 2015",1,15,0.93,1.96
160,"Murphy et al., 2006",2,21,-1.2,6.24
160,"Murphy et al., 2006",1,12,-1,5.43
161,"Murtagh et al., 2005 Multi Bout",2,18,-1,5.4
161,"Murtagh et al., 2005 Multi Bout",1,11,-4,6.32
162,"Murtagh et al., 2005 Single Bout",2,19,-3,3.79
162,"Murtagh et al., 2005 Single Bout",1,11,-4,6.32
163,"Nemoto et al., 2007 M",2,8,-2,3.6
163,"Nemoto et al., 2007 M",1,9,-1,3.79
164,"Nemoto et al., 2007 F",2,43,-2,8.77
164,"Nemoto et al., 2007 F",1,37,-1,7.72
165,"Neumann et al., 2006",2,14,-4,1.84
165,"Neumann et al., 2006",1,11,-8,1.34
166,"Palmer et al., 1995",2,16,-7,6.08
166,"Palmer et al., 1995",1,11,0,6.96
167,"Pospieszna et al., 2017",2,20,-2,4.43
167,"Pospieszna et al., 2017",1,19,-2,0.63
168,"Ready et al., 1996 3-Day",2,19,1,6.6
168,"Ready et al., 1996 3-Day",1,20,1,6
