StudyID,Study,T,N,Mean,SD
293,"Olson et al., 2006",3,15,-7,12.28
293,"Olson et al., 2006",1,15,1,4.87
294,"Park et al., 2011",3,18,-0.9,7.52
294,"Park et al., 2011",1,22,-5.2,6.12
295,"Plotnikoff et al., 2010",3,27,-1.4,4.93
295,"Plotnikoff et al., 2010",1,21,0.2,5.4
296,"Polito et al, 2020 1 Set",3,14,-1.9,5.26
296,"Polito et al, 2020 1 Set",1,12,1.4,5.46
297,"Polito et al, 2020 2 Set",3,12,-5.6,3.9
297,"Polito et al, 2020 2 Set",1,12,1.4,5.46
298,"Queiroz et al., 2011 Power",3,15,-2,7.34
298,"Queiroz et al., 2011 Power",1,11,-4,8.01
299,"Queiroz et al., 2011 Resistance",3,13,-3,6.83
299,"Queiroz et al., 2011 Resistance",1,11,-4,8.01
300,"Tomeleri et al, 2017",3,22,-1.6,4.55
300,"Tomeleri et al, 2017",1,23,0.3,4.12
301,"Van Hoof et al., 1996",3,15,-5,6.71
301,"Van Hoof et al., 1996",1,15,-2,8.4
302,"Vincent et al., 2003 High",3,24,-2.6,6.41
302,"Vincent et al., 2003 High",1,16,3.3,7.21
303,"Vincent et al., 2003 Low",3,22,2.7,5.53
303,"Vincent et al., 2003 Low",1,16,3.3,7.21
304,"Zanetti et al, 2017",3,10,-4,5.04
304,"Zanetti et al, 2017",1,11,0.9,6.9
305,"Werner et al., 2022 High Int",3,10,-1,4.82
305,"Werner et al., 2022 High Int",1,10,3,5.53
306,"Werner et al., 2022 High Vol",3,10,0,4.22
306,"Werner et al., 2022 High Vol",1,10,3,5.53
307,"Dantas et al., 2023 Group A",3,35,-9.3,6.57
307,"Dantas et al., 2023 Group A",1,35,5.14,5.18
308,"Dantas et al., 2023 Group B",3,35,-2,3.94
308,"Dantas et al., 2023 Group B",1,35,5.14,5.18
309,"Abrahin et al., 2022",3,10,-3.1,6.42
309,"Abrahin et al., 2022",1,21,-1.7,5.1
309,"Abrahin et al., 2022",2,10,-3.1,5.61
310,"Lin et al., 2022 High Int",3,15,-7,1.51
310,"Lin et al., 2022 High Int",1,13,-2.9,1.9
311,"Lin et al., 2022 Low Int",3,13,-3.9,1.64
311,"Lin et al., 2022 Low Int",1,12,-2.9,1.9
312,"Islami et al., 2021 Gym-Based",4,16,-6.5,6.46
312,"Islami et al., 2021 Gym-Based",1,15,-14,5.3
313,"Islami et al., 2021 Home-Based",4,15,-2.5,4.96
313,"Islami et al., 2021 Home-Based",1,15,-14,5.3
314,"Sardeli et al., 2022",4,23,-1.6,6.12
314,"Sardeli et al., 2022",1,23,0.5,6.31
315,"Songcharern et al., 2022",4,14,-7.2,8.79
315,"Songcharern et al., 2022",1,15,4.3,7.39
316,"Jung et al., 2022",4,14,-4.14,4.15
316,"Jung et al., 2022",1,14,-0.79,6
317,"Do Amaral et al., 2022",4,12,-1,6
317,"Do Amaral et al., 2022",1,20,-2,7.92
318,"Davoodi et al., 2022",2,16,-3.81,3.09
318,"Davoodi et al., 2022",1,15,0.46,2.94
318,"Davoodi et al., 2022",5,16,-3.62,2.2
319,"Li et al., 2022",2,12,-0.1,4.17
319,"Li et al., 2022",1,12,0.3,3.95
319,"Li et al., 2022",5,13,-0.9,3.93
320,"Punia et al., 2022",2,30,-4.27,2.87
320,"Punia et al., 2022",1,33,2.45,3.2
